Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Birthrate,Deathrate
Moldova,C.W. OF IND. STATES,4466706,33843,132,40.42,1800,99.1,15.7,12.64
Monaco,WESTERN EUROPE,32543,2,16271.5,5.43,27000,99,9.19,12.91
Mongolia,ASIA (EX. NEAR EAST),2832224,1564116,1.8,53.79,1800,97.8,21.59,6.95
Montserrat,LATIN AMER. & CARIB,9439,102,92.5,7.35,3400,97,17.59,7.1
Morocco,NORTHERN AFRICA,33241259,446550,74.4,41.62,4000,51.7,21.98,5.58
Mozambique,SUB-SAHARAN AFRICA,19686505,801590,24.6,130.79,1200,47.8,35.18,21.35
Myanmar,ASIA (EX. NEAR EAST),47382633,678500,69.8,67.24,1800,85.3,17.91,9.83
Namibia,SUB-SAHARAN AFRICA,2044147,825418,2.5,48.98,7200,84,24.32,18.86
Nauru,OCEANIA,13287,21,632.7,9.95,5000,Unknown,24.76,6.7
Nepal,ASIA (EX. NEAR EAST),28287147,147181,192.2,66.98,1400,45.2,30.98,9.31
Netherlands,WESTERN EUROPE,16491461,41526,397.1,5.04,28600,99,10.9,8.68
New Caledonia,OCEANIA,219246,19060,11.5,7.72,15000,91,18.11,5.69
New Zealand,OCEANIA,4076140,268680,15.2,5.85,21600,99,13.76,7.53
Nicaragua,LATIN AMER. & CARIB,5570129,129494,43,29.11,2300,67.5,24.51,4.45
Niger,SUB-SAHARAN AFRICA,12525094,1267000,9.9,121.69,800,17.6,50.73,20.91
Nigeria,SUB-SAHARAN AFRICA,131859731,923768,142.7,98.8,900,68,40.43,16.94
North Korea,ASIA (EX. NEAR EAST),23113019,120540,191.8,24.04,1300,99,15.54,7.13
Northern Mariana Islands,OCEANIA,82459,477,172.9,7.11,12500,97,19.43,2.29
Norway,WESTERN EUROPE,4610820,323802,14.2,3.7,37800,100,11.46,9.4
Oman,NEAR EAST,3102229,212460,14.6,19.51,13100,75.8,36.24,3.81
Pakistan,ASIA (EX. NEAR EAST),165803560,803940,206.2,72.44,2100,45.7,29.74,8.23
Palau,OCEANIA,20579,458,44.9,14.84,9000,92,18.03,6.8
Panama,LATIN AMER. & CARIB,3191319,78200,40.8,20.47,6300,92.6,21.74,5.36
Papua New Guinea,OCEANIA,5670544,462840,12.3,51.45,2200,64.6,29.36,7.25
Paraguay,LATIN AMER. & CARIB,6506464,406750,16,25.63,4700,94,29.1,4.49
Peru,LATIN AMER. & CARIB,28302603,1285220,22,31.94,5100,90.9,20.48,6.23
Philippines,ASIA (EX. NEAR EAST),89468677,300000,298.2,23.51,4600,92.6,24.89,5.41
Poland,EASTERN EUROPE,38536869,312685,123.3,8.51,11100,99.8,9.85,9.89
Portugal,WESTERN EUROPE,10605870,92391,114.8,5.05,18000,93.3,10.72,10.5
Puerto Rico,LATIN AMER. & CARIB,3927188,13790,284.8,8.24,16800,94.1,12.77,7.65
Qatar,NEAR EAST,885359,11437,77.4,18.61,21500,82.5,15.56,4.72
Republic of the Congo,SUB-SAHARAN AFRICA,3702314,342000,10.8,93.86,700,83.8,42.57,12.93
Reunion,SUB-SAHARAN AFRICA,787584,2517,312.9,7.78,5800,88.9,18.9,5.49
Romania,EASTERN EUROPE,22303552,237500,93.9,26.43,7000,98.4,10.7,11.77
Russia,C.W. OF IND. STATES,142893540,17075200,8.4,15.39,8900,99.6,9.95,14.65
Rwanda,SUB-SAHARAN AFRICA,8648248,26338,328.4,91.23,1300,70.4,40.37,16.09
Saint Helena,SUB-SAHARAN AFRICA,7502,413,18.2,19,2500,97,12.13,6.53
Saint Kitts & Nevis,LATIN AMER. & CARIB,39129,261,149.9,14.49,8800,97,18.02,8.33
Saint Lucia,LATIN AMER. & CARIB,168458,616,273.5,13.53,5400,67,19.68,5.08
Saint Pierre & Miquelon,NORTHERN AMERICA,7026,242,29,7.54,6900,99,13.52,6.83
Saint Vincent and the Grenadines,LATIN AMER. & CARIB,117848,389,303,14.78,2900,96,16.18,5.98
Samoa,OCEANIA,176908,2944,60.1,27.71,5600,99.7,16.43,6.62
San Marino,WESTERN EUROPE,29251,61,479.5,5.73,34600,96,10.02,8.17
Sao Tome & Principe,SUB-SAHARAN AFRICA,193413,1001,193.2,43.11,1200,79.3,40.25,6.47
Saudi Arabia,NEAR EAST,27019731,1960582,13.8,13.24,11800,78.8,29.34,2.58
Senegal,SUB-SAHARAN AFRICA,11987121,196190,61.1,55.51,1600,40.2,32.78,9.42
Serbia,EASTERN EUROPE,9396411,88361,106.3,12.89,2200,93,Unknown,Unknown
Seychelles,SUB-SAHARAN AFRICA,81541,455,179.2,15.53,7800,58,16.03,6.29
Sierra Leone,SUB-SAHARAN AFRICA,6005250,71740,83.7,143.64,500,31.4,45.76,23.03
Singapore,ASIA (EX. NEAR EAST),4492150,693,6482.2,2.29,23700,92.5,9.34,4.28
Slovakia,EASTERN EUROPE,5439448,48845,111.4,7.41,13300,Unknown,10.65,9.45
Slovenia,EASTERN EUROPE,2010347,20273,99.2,4.45,19000,99.7,8.98,10.31
Solomon Islands,OCEANIA,552438,28450,19.4,21.29,1700,Unknown,30.01,3.92
Somalia,SUB-SAHARAN AFRICA,8863338,637657,13.9,116.7,500,37.8,45.13,16.63
South Africa,SUB-SAHARAN AFRICA,44187637,1219912,36.2,61.81,10700,86.4,18.2,22
South Korea,ASIA (EX. NEAR EAST),48846823,98480,496,7.05,17800,97.9,10,5.85
Spain,WESTERN EUROPE,40397842,504782,80,4.42,22000,97.9,10.06,9.72
Sri Lanka,ASIA (EX. NEAR EAST),20222240,65610,308.2,14.35,3700,92.3,15.51,6.52
Sudan,SUB-SAHARAN AFRICA,41236378,2505810,16.5,62.5,1900,61.1,34.53,8.97
Suriname,LATIN AMER. & CARIB,439117,163270,2.7,23.57,4000,93,18.02,7.27
Swaziland,SUB-SAHARAN AFRICA,1136334,17363,65.5,69.27,4900,81.6,27.41,29.74
Sweden,WESTERN EUROPE,9016596,449964,20,2.77,26800,99,10.27,10.31
Switzerland,WESTERN EUROPE,7523934,41290,182.2,4.39,32700,99,9.71,8.49
Syria,NEAR EAST,18881361,185180,102,29.53,3300,76.9,27.76,4.81
Taiwan,ASIA (EX. NEAR EAST),23036087,35980,640.3,6.4,23400,96.1,12.56,6.48
Tajikistan,C.W. OF IND. STATES,7320815,143100,51.2,110.76,1000,99.4,32.65,8.25
Tanzania,SUB-SAHARAN AFRICA,37445392,945087,39.6,98.54,600,78.2,37.71,16.39
Thailand,ASIA (EX. NEAR EAST),64631595,514000,125.7,20.48,7400,92.6,13.87,7.04
Togo,SUB-SAHARAN AFRICA,5548702,56785,97.7,66.61,1500,60.9,37.01,9.83
Tonga,OCEANIA,114689,748,153.3,12.62,2200,98.5,25.37,5.28
Trinidad & Tobago,LATIN AMER. & CARIB,1065842,5128,207.9,24.31,9500,98.6,12.9,10.57
Tunisia,NORTHERN AFRICA,10175014,163610,62.2,24.77,6900,74.2,15.52,5.13
Turkey,NEAR EAST,70413958,780580,90.2,41.04,6700,86.5,16.62,5.97
Turkmenistan,C.W. OF IND. STATES,5042920,488100,10.3,73.08,5800,98,27.61,8.6
Turks & Caicos Islands,LATIN AMER. & CARIB,21152,430,49.2,15.67,9600,98,21.84,4.21
Tuvalu,OCEANIA,11810,26,454.2,20.03,1100,Unknown,22.18,7.11
Uganda,SUB-SAHARAN AFRICA,28195754,236040,119.5,67.83,1400,69.9,47.35,12.24
Ukraine,C.W. OF IND. STATES,46710816,603700,77.4,20.34,5400,99.7,8.82,14.39
United Arab Emirates,NEAR EAST,2602713,82880,31.4,14.51,23200,77.9,18.96,4.4
United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.16,27700,99,10.71,10.13
United States,NORTHERN AMERICA,298444215,9631420,31,6.5,37800,97,14.14,8.26
Uruguay,LATIN AMER. & CARIB,3431932,176220,19.5,11.95,12800,98,13.91,9.05
Uzbekistan,C.W. OF IND. STATES,27307134,447400,61,71.1,1700,99.3,26.36,7.84
Vanuatu,OCEANIA,208869,12200,17.1,55.16,2900,53,22.72,7.82
Venezuela,LATIN AMER. & CARIB,25730435,912050,28.2,22.2,4800,93.4,18.71,4.92
Vietnam,ASIA (EX. NEAR EAST),84402966,329560,256.1,25.95,2500,90.3,16.86,6.22
Virgin Islands,LATIN AMER. & CARIB,108605,1910,56.9,8.03,17200,Unknown,13.96,6.43
Wallis and Futuna,OCEANIA,16025,274,58.5,Unknown,3700,50,Unknown,Unknown
Western Sahara,NORTHERN AFRICA,273008,266000,1,Unknown,Unknown,Unknown,Unknown,Unknown
Yemen,NEAR EAST,21456188,527970,40.6,61.5,800,50.2,42.89,8.3
Zambia,SUB-SAHARAN AFRICA,11502010,752614,15.3,88.29,800,80.6,41,19.93
Zimbabwe,SUB-SAHARAN AFRICA,12236805,390580,31.3,67.69,1900,90.7,28.01,21.84
